"Timestamp","Outdoor Temperature","Outdoor Humidity","Dew Point","Heat Index","Wind Chill","Barometric Pressure","Rain","Wind Speed","Wind Average","Peak Wind","Wind Direction","Indoor Temperature","Indoor Humidity"
"12/30/2020 6:24:00 PM","40.8","52","24","41","41","29.79575","0","1.864114","1.864114","4.349598","112.5","72.6","30"
"12/30/2020 6:36:00 PM","40.5","53","25","41","41","29.79575","0","1.242742","0.6213712","4.349598","157.5","72.1","31"
"12/30/2020 6:48:00 PM","40.8","52","24","41","41","29.79575","0","1.864114","1.864114","4.349598","225","71.6","31"
"12/30/2020 7:00:00 PM","40.6","52","24","41","41","29.76622","0","1.864114","1.864114","4.97097","180","71.2","30"
"12/30/2020 7:12:00 PM","41","52","24","41","41","29.76622","0","1.864114","1.864114","4.97097","112.5","70.8","30"
"12/30/2020 7:24:00 PM","40.8","53","25","41","41","29.76622","0","1.864114","1.864114","4.97097","135","70.7","30"
"12/30/2020 7:36:00 PM","41","53","25","41","41","29.76622","0","1.864114","1.242742","4.97097","270","70.5","30"
"12/30/2020 7:48:00 PM","41.5","53","25","42","41","29.76622","0","3.106856","1.864114","4.97097","112.5","70.1","29"
